country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",17-04-2026 19:00,26.146529,87.454184,OZONE,9,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",17-04-2026 19:00,25.5626095,84.663264,PM10,41,69,52
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",17-04-2026 19:00,25.5626095,84.663264,OZONE,4,29,13
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",17-04-2026 19:00,24.75746,84.366208,PM2.5,3,43,25
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",17-04-2026 19:00,24.75746,84.366208,SO2,7,22,15
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",17-04-2026 19:00,25.42742023,86.13886079,PM2.5,27,50,39
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",17-04-2026 19:00,26.80365,84.51954,NO2,6,11,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",17-04-2026 19:00,25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",17-04-2026 19:00,25.265194,87.012947,PM2.5,8,247,122
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",17-04-2026 19:00,25.265194,87.012947,NH3,6,9,7
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",17-04-2026 19:00,26.181742,91.78063,PM2.5,56,167,82
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",17-04-2026 19:00,26.181742,91.78063,NH3,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",17-04-2026 19:00,26.349082,92.68449,NO2,1,3,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",17-04-2026 19:00,26.349082,92.68449,NH3,4,4,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",17-04-2026 19:00,26.446912,91.439057,OZONE,10,17,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA",17-04-2026 19:00,24.82827,92.79525,NO2,19,27,25
India,Assam,Silchar,"Tarapur, Silchar - PCBA",17-04-2026 19:00,24.82827,92.79525,SO2,5,7,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",17-04-2026 19:00,26.987634,94.636574,SO2,7,8,8
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",17-04-2026 19:00,26.146529,87.454184,PM2.5,8,127,52
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-04-2026 19:00,25.697189,85.2459,NO2,6,16,10
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-04-2026 19:00,25.697189,85.2459,NH3,10,16,12
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",17-04-2026 19:00,25.697189,85.2459,CO,2,28,20
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",17-04-2026 19:00,25.560083,87.553265,NO2,9,10,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",17-04-2026 19:00,25.560083,87.553265,CO,54,91,69
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",17-04-2026 19:00,27.308328,84.531742,PM10,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",17-04-2026 19:00,26.63086,84.90051,PM2.5,42,143,67
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",17-04-2026 19:00,26.63086,84.90051,NO2,3,5,4
India,Bihar,Munger,"Town Hall, Munger - BSPCB",17-04-2026 19:00,25.376776,86.471523,PM2.5,15,45,33
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",17-04-2026 19:00,25.265194,87.012947,OZONE,7,19,14
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",17-04-2026 19:00,25.204762,85.51496,CO,54,64,56
